"filename", "language", "C", "Makefile", "Markdown", "comment", "blank", "total"
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_rng.c", "C", 81, 0, 0, 286, 32, 399
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_rtc.c", "C", 1054, 0, 0, 1409, 295, 2758
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_sai.c", "C", 340, 0, 0, 737, 83, 1160
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_sdio.c", "C", 244, 0, 0, 655, 105, 1004
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_spdifrx.c", "C", 167, 0, 0, 275, 45, 487
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_spi.c", "C", 421, 0, 0, 796, 109, 1326
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_syscfg.c", "C", 204, 0, 0, 243, 67, 514
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_tim.c", "C", 1171, 0, 0, 1785, 402, 3358
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_usart.c", "C", 448, 0, 0, 914, 117, 1479
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_wwdg.c", "C", 61, 0, 0, 209, 30, 300
"Total", "-", 40487, 120, 61, 38505, 11299, 90472
